,Model,Validation Score(Before tuning),Validation Score(After tuning)
0,Linear Regression,0.005947383942028051,0.0059473839420280126
1,Random Forest,0.0013461582786251523,0.0012725067494721715
2,K Nearest Neighbours,0.0018707693010571289,0.0014923880937015757
3,Support Vector Machine,0.014887578715157147,0.014887578715157147
4,XGBoost,0.0042951781113230135,0.0011240075894467275
5,Light GBM,0.0014111746265739577,0.001362928387659491
6,CatBoost,0.0011406207425748677,0.0008861841874832227
